2016-03-18 16:25:06 [main] 52::: INFO  org.gserver.core.server.loader.ServerConfigXmlLoader - load server config !
2016-03-18 16:25:06 [main] 412::: INFO  org.springframework.context.support.AbstractApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@35c0e45a: display name [org.springframework.context.support.ClassPathXmlApplicationContext@35c0e45a]; startup date [Fri Mar 18 16:25:06 CST 2016]; root of context hierarchy
2016-03-18 16:25:06 [main] 323::: INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [gs-context.xml]
2016-03-18 16:25:06 [main] 323::: INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [gs-handlers.xml]
2016-03-18 16:25:06 [main] 323::: INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [gs-redis.xml]
2016-03-18 16:25:06 [main] 427::: INFO  org.springframework.context.support.AbstractApplicationContext - Bean factory for application context [org.springframework.context.support.ClassPathXmlApplicationContext@35c0e45a]: org.springframework.beans.factory.support.DefaultListableBeanFactory@5557c2bd
2016-03-18 16:25:06 [main] 178::: INFO  org.springframework.core.io.support.PropertiesLoaderSupport - Loading properties file from class path resource [redis.properties]
2016-03-18 16:25:06 [main] 414::: INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@5557c2bd: defining beans [propertyConfigurer,handler100001,jedisConfig,jedisPool,redisFactory,redisAccessor,redisTemplateMethod]; root of factory hierarchy
2016-03-18 16:25:07 [main] 399::: INFO  org.springframework.beans.factory.support.DefaultSingletonBeanRegistry - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@5557c2bd: defining beans [propertyConfigurer,handler100001,jedisConfig,jedisPool,redisFactory,redisAccessor,redisTemplateMethod]; root of factory hierarchy
2016-03-18 16:26:26 [main] 52::: INFO  org.gserver.core.server.loader.ServerConfigXmlLoader - load server config !
2016-03-18 16:26:26 [main] 412::: INFO  org.springframework.context.support.AbstractApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6262937c: display name [org.springframework.context.support.ClassPathXmlApplicationContext@6262937c]; startup date [Fri Mar 18 16:26:26 CST 2016]; root of context hierarchy
2016-03-18 16:26:26 [main] 323::: INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [gs-context.xml]
2016-03-18 16:26:26 [main] 323::: INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [gs-handlers.xml]
2016-03-18 16:26:26 [main] 323::: INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [gs-redis.xml]
2016-03-18 16:26:26 [main] 427::: INFO  org.springframework.context.support.AbstractApplicationContext - Bean factory for application context [org.springframework.context.support.ClassPathXmlApplicationContext@6262937c]: org.springframework.beans.factory.support.DefaultListableBeanFactory@4ce32802
2016-03-18 16:26:26 [main] 178::: INFO  org.springframework.core.io.support.PropertiesLoaderSupport - Loading properties file from class path resource [redis.properties]
2016-03-18 16:26:26 [main] 414::: INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4ce32802: defining beans [propertyConfigurer,handler100001,jedisConfig,jedisPool,redisFactory,redisAccessor,redisTemplateMethod]; root of factory hierarchy
2016-03-18 16:26:27 [Thread-3] 36::: INFO  org.gserver.core.server.impl.Server - Server App1 Start At Port 8021
